panel,method,mae,mse
beijing/legacy_native_h96,correlation_transport,0.83599203286512969,1.5197341572828555
beijing/legacy_native_h96,corruption_lora,0.85726280210578631,1.5938374087668503
beijing/legacy_native_h96,covariance_portfolio_global,0.84052989738956185,1.5580472244366088
beijing/legacy_native_h96,covariance_portfolio_station,0.85957180659782761,1.5960108107107109
beijing/legacy_native_h96,forecast_covariance,0.87444029233512943,1.7596182223639403
beijing/legacy_native_h96,full_dynamic_mixture_mean16,0.85860960669287645,1.6377858004646721
beijing/legacy_native_h96,full_dynamic_mixture_median16,0.88426308430512546,1.7928519600656732
beijing/legacy_native_h96,full_filtered_point,0.88451603978300275,1.7914366715887884
beijing/legacy_native_h96,full_sample_point_mean16,0.88418463766560418,1.7929239899390883
beijing/legacy_native_h96,full_sample_point_median16,0.8839770031463966,1.7918357793925574
beijing/legacy_native_h96,full_smoothed_cdf_median,0.88147732325293793,1.7843749072415054
beijing/legacy_native_h96,full_smoothed_point,0.88147732325293793,1.7843749072415054
beijing/legacy_native_h96,full_static_point,0.8720306319825375,1.7493173632570322
beijing/legacy_native_h96,gaussian_conditional_attention,0.87264823619207987,1.7522282368039841
beijing/legacy_native_h96,gaussian_group_attention,0.8723011822002672,1.7498246641985686
beijing/legacy_native_h96,gaussian_observation_attention,0.87312852095567572,1.7520222988984537
beijing/legacy_native_h96,gaussian_provenance,0.86312164206515252,1.6620603216973098
beijing/legacy_native_h96,gaussian_provenance_attention,0.86335051044431044,1.6624902143986058
beijing/legacy_native_h96,gaussian_shifted_attention,0.87239508314130187,1.7500912493446095
beijing/legacy_native_h96,gaussian_time_attention,0.87245314095579729,1.7518567991972895
beijing/legacy_native_h96,half_input_mix,0.87512713713787382,1.7276720399956522
beijing/legacy_native_h96,half_output_mix,0.87485005231620916,1.7271909702477968
beijing/legacy_native_h96,half_static_var,0.8301351431181051,1.4196581177592738
beijing/legacy_native_h96,half_var_corruption_lora,0.83035807623511182,1.376162777367453
beijing/legacy_native_h96,half_var_forecast_covariance,0.83216328987210242,1.4260536772190331
beijing/legacy_native_h96,half_var_gaussian_conditional_attention,0.83020693443949611,1.4204747654659542
beijing/legacy_native_h96,half_var_gaussian_group_attention,0.83013263921345326,1.4198559982620604
beijing/legacy_native_h96,half_var_gaussian_observation_attention,0.83076107902840846,1.4213366617783301
beijing/legacy_native_h96,half_var_gaussian_provenance,0.82692610636728681,1.4039467873576887
beijing/legacy_native_h96,half_var_gaussian_provenance_attention,0.8269948328507275,1.4038674594322387
beijing/legacy_native_h96,half_var_gaussian_shifted_attention,0.83014026987260492,1.4199472520611536
beijing/legacy_native_h96,half_var_gaussian_time_attention,0.83020124858349842,1.4203035199941831
beijing/legacy_native_h96,half_var_imputation_covariance_all,0.83027187107845057,1.4208566431884349
beijing/legacy_native_h96,half_var_imputation_covariance_targets,0.83032197742370351,1.4208533910727237
beijing/legacy_native_h96,half_var_independent_plus_native_mean,0.84720557410801633,1.5024265000568013
beijing/legacy_native_h96,half_var_independent_plus_native_median,0.84631756109274103,1.5036866194050298
beijing/legacy_native_h96,half_var_independent_proxy_mean,0.8488929861523159,1.5081430964367897
beijing/legacy_native_h96,half_var_independent_proxy_median,0.8465976195011754,1.5046632129072304
beijing/legacy_native_h96,half_var_isolated_gaussian,0.84673433363729667,1.5020975654381254
beijing/legacy_native_h96,half_var_isolated_knn_multivariate,0.84624665779403552,1.5038438998936023
beijing/legacy_native_h96,half_var_isolated_linear_interp,0.84843790260992435,1.5114632230253893
beijing/legacy_native_h96,half_var_isolated_local_ridge,0.85294031888925581,1.5207939492824771
beijing/legacy_native_h96,half_var_isolated_locf,0.84952701417917342,1.5143866235734615
beijing/legacy_native_h96,half_var_isolated_motm_reference,0.85417020449912906,1.520136251990474
beijing/legacy_native_h96,half_var_isolated_peer_ar_bridge,0.84606306282640376,1.503008600743782
beijing/legacy_native_h96,half_var_isolated_peer_residual_linear,0.84549076338080231,1.5022570187746078
beijing/legacy_native_h96,half_var_isolated_peer_ridge,0.84627165317788633,1.5011104289948136
beijing/legacy_native_h96,half_var_isolated_saits,0.84560985915602238,1.5030285164457231
beijing/legacy_native_h96,half_var_isolated_seasonal_lag,0.85791063577111493,1.5336299750943088
beijing/legacy_native_h96,half_var_isolated_timemixerpp,0.85865790063898839,1.5336600333315846
beijing/legacy_native_h96,half_var_joint_reference_mean,0.84924383724850261,1.509609012168452
beijing/legacy_native_h96,half_var_joint_reference_median,0.84700214473518154,1.5058483441635682
beijing/legacy_native_h96,half_var_local_ridge,0.83507169117127755,1.4261805413040396
beijing/legacy_native_h96,half_var_long_repair_gaussian_peer,0.8099859307482179,1.3289933319643115
beijing/legacy_native_h96,half_var_long_repair_gaussian_targets,0.8086535733882686,1.3231672404247923
beijing/legacy_native_h96,half_var_long_repair_knn_multivariate_peer,0.80970191192293506,1.3292642587311039
beijing/legacy_native_h96,half_var_long_repair_knn_multivariate_targets,0.80937889886065506,1.326247604596462
beijing/legacy_native_h96,half_var_long_repair_local_ridge_peer,0.81049256987525187,1.3296868833622602
beijing/legacy_native_h96,half_var_long_repair_local_ridge_targets,0.80996654080950747,1.3242146335250575
beijing/legacy_native_h96,half_var_long_repair_peer_ridge_peer,0.80988917590845866,1.3289084849636825
beijing/legacy_native_h96,half_var_long_repair_peer_ridge_targets,0.80846743280377431,1.3227779072470776
beijing/legacy_native_h96,half_var_native_local,0.83323118868359225,1.405517657609906
beijing/legacy_native_h96,half_var_native_long_prefix_peer,0.80976016753436431,1.3268789839548221
beijing/legacy_native_h96,half_var_native_long_prefix_targets,0.80521967797114113,1.3130295370691243
