panel,method,station,mae,mse
beijing/legacy_native_h96,covariance_portfolio_global,Aotizhongxin,1.0343707040761716,2.0942497369042234
beijing/legacy_native_h96,covariance_portfolio_global,Changping,0.7035820468028795,1.1636631727568589
beijing/legacy_native_h96,covariance_portfolio_global,Dingling,0.86831204387286465,1.4490975791817911
beijing/legacy_native_h96,covariance_portfolio_global,Dongsi,0.85326107221653968,1.3339307547846244
beijing/legacy_native_h96,covariance_portfolio_global,Guanyuan,0.80462763246854119,1.4034595324703982
beijing/legacy_native_h96,covariance_portfolio_global,Gucheng,0.83055656966218605,1.315329819824874
beijing/legacy_native_h96,covariance_portfolio_global,Huairou,0.78482734781255414,1.3339675941223399
beijing/legacy_native_h96,covariance_portfolio_global,Nongzhanguan,0.78966841091305784,1.1438889501681595
beijing/legacy_native_h96,covariance_portfolio_global,Shunyi,0.88684054789850109,1.6815996960181743
beijing/legacy_native_h96,covariance_portfolio_global,Tiantan,0.81891207549409217,1.7493193592435303
beijing/legacy_native_h96,covariance_portfolio_global,Wanliu,0.91936396156824274,2.1997815678749588
beijing/legacy_native_h96,covariance_portfolio_global,Wanshouxigong,0.79203635588911148,1.8282789298893707
beijing/legacy_native_h96,covariance_portfolio_station,Aotizhongxin,1.0682871945288732,2.2658112041590193
beijing/legacy_native_h96,covariance_portfolio_station,Changping,0.69955486098724895,1.1829115828927079
beijing/legacy_native_h96,covariance_portfolio_station,Dingling,0.90665210349047098,1.6235889772342176
beijing/legacy_native_h96,covariance_portfolio_station,Dongsi,0.87035067369148733,1.2134215919084677
beijing/legacy_native_h96,covariance_portfolio_station,Guanyuan,0.85057268079801074,1.5572184511320402
beijing/legacy_native_h96,covariance_portfolio_station,Gucheng,0.86560239686414819,1.4339343863970702
beijing/legacy_native_h96,covariance_portfolio_station,Huairou,0.79354932459661209,1.3277919592948371
beijing/legacy_native_h96,covariance_portfolio_station,Nongzhanguan,0.76489280744344212,0.89714186961977649
beijing/legacy_native_h96,covariance_portfolio_station,Shunyi,0.90395108886229469,1.7936607459786194
beijing/legacy_native_h96,covariance_portfolio_station,Tiantan,0.8282658045045761,1.6336937825740678
beijing/legacy_native_h96,covariance_portfolio_station,Wanliu,0.96008905477287421,2.41075366502987
beijing/legacy_native_h96,covariance_portfolio_station,Wanshouxigong,0.80309368863389397,1.8122015123078403
beijing/legacy_native_h96,forecast_covariance,Aotizhongxin,1.074580119407806,2.3230414246911169
