panel,reference,mae_change_percent,mse_change_percent,mae_station_wins,mse_station_wins,mae_loso_min,mae_loso_max,mse_loso_min,mse_loso_max
beijing/natural_outage_h24,native_peer,-26.809158761998898,-43.86660060799335,10,10,-29.52658225751029,-24.615056649848167,-47.89592621083637,-40.46516969038745
beijing/natural_outage_h24,native_long_prefix_peer,-19.962578179990153,-31.902967269726958,9,9,-23.216101152022983,-17.627704957156677,-37.41808998728998,-27.51983964889512
beijing/natural_outage_h24,native_long_prefix_targets,-27.482011480409017,-44.460502266039704,10,10,-30.625463595697155,-25.433668829273927,-49.828749913240024,-41.09283219580225
beijing/natural_outage_h24,linear_var_direct,-10.506064935119841,-19.430989730961713,9,10,-12.085123077543269,-8.506693292253509,-23.38178873865099,-16.509848869782772
beijing/natural_outage_h24,half_var_native_long_prefix_peer,-5.984716470217865,-7.256499185164456,9,8,-7.521357998770217,-4.911130701660305,-9.685151573553853,-5.404633673169124
beijing/natural_outage_h24,half_var_native_long_prefix_targets,-10.728695057531645,-16.01852682886028,9,10,-12.559776189836047,-8.878002326398315,-20.29917057045527,-13.302126726007302
beijing/natural_outage_h24,half_var_target_knn_multivariate,-2.2538228886642364,-7.456193254591792,8,10,-3.9610372814883332,-1.4230411224461226,-9.236196696558185,-6.169127417276011
beijing/natural_outage_h24,long_repair_gaussian_peer,-0.9531281302946337,-3.065066828030172,5,5,-2.659263342658391,0.5838857901614647,-6.918933668437677,2.134491756538681
beijing/natural_outage_h24,half_var_long_repair_gaussian_peer,-0.029794533455285155,-0.18559762423152604,5,5,-0.08914635068908439,0.05889874459559241,-0.3101341805928026,-0.02300978877927129
beijing/natural_outage_h24,half_var_long_repair_knn_multivariate_peer,-0.16046864167502672,0.2529146183320785,5,5,-1.0655951805887631,0.588462772788545,-0.602062277273141,1.5900889403138052
beijing/natural_outage_h24,long_repair_local_ridge_targets,-24.737262092932234,-44.01418962336551,9,9,-28.44701924188665,-19.82583035440061,-49.48067883399207,-36.13710416134146
beijing/natural_outage_h24,corruption_lora,-23.416858932037698,-41.72200030425899,9,9,-26.976881821714947,-18.36450862084237,-46.55848126097135,-36.14776464694134
beijing/natural_outage_h24,peer_ridge,-9.888141322505884,-21.737353038113305,10,10,-11.706934527355827,-7.418443113329321,-25.267054422405387,-18.146212860086784
beijing/natural_outage_h24,half_var_peer_ridge,-2.8710875158438287,-8.836358699210079,8,11,-3.8079785085807005,-2.2027289483636414,-9.99648184823374,-8.017288082619489
beijing/natural_outage_h24,local_ridge,-22.55376335019911,-38.548992977954065,9,9,-25.32254646524057,-19.981962489960935,-43.537763392047744,-35.18187420618055
beijing/synthetic_outage_h24,native_peer,-23.958977046276473,-35.06009318436585,12,12,-26.46016805876653,-19.50904649343751,-39.135158045687625,-29.159573959939365
beijing/synthetic_outage_h24,native_long_prefix_peer,-5.31629558524579,-5.240088587435176,7,7,-8.486682394149781,0.2574751349076365,-12.47232257057882,17.386371278487655
beijing/synthetic_outage_h24,native_long_prefix_targets,-7.00550142307399,-23.475091460108445,7,6,-12.220046936468377,2.1560768351170934,-31.00523290957219,-7.311923333412684
